p,d,q,AIC
0,0,0,1399.5518555637946
0,0,1,1356.4362367320132
0,0,2,1350.0624456945739
0,0,3,1342.042649727619
0,1,0,1375.9066815270994
0,1,1,1376.4879094404246
0,1,2,1352.18265444824
0,1,3,1345.5035346261866
1,0,0,1351.6910984604656
1,0,1,1351.265652548082
1,0,2,1349.763648309503
1,0,3,1340.214070403451
1,1,0,1376.635112547917
1,1,1,1346.7564869775192
1,1,2,1346.483491526762
1,1,3,1344.9147458448404
2,0,0,1349.1757070840936
2,0,1,1316.3080010358958
2,0,2,1285.9712210260786
2,0,3,1334.9504859609237
2,1,0,1378.388268504844
2,1,1,1344.5878221261914
2,1,2,1346.5852270002433
2,1,3,1348.1247226847563
3,0,0,1340.4140263758013
3,0,1,1312.7465511474295
3,0,2,1319.3524844017543
3,0,3,1289.869102311073
3,1,0,1378.5024543411935
3,1,1,1336.3658518929615
3,1,2,1347.210453032118
3,1,3,1341.4689971275056
